term,counts
spike,5312
appointments,5307
order,5283
noticias,5283
single,5271
wuhan,5244
shit,5241
wrong,5235
atención,5231
results,5226
leaders,5224
thursday,5217
taken,5202
comme,5198
england,5195
little,5190
bei,5182
frente,5176
aumento,5175
center,5172
29,5159
up,5159
पर,5149
power,5142
rates,5141
later,5139
higher,5138
até,5137
wednesday,5128
starting,5125
young,5123
former,5120
cancer,5109
half,5101
we,5092
après,5091
caused,5089
郭文贵,5087
nation,5080
prevención,5076
hoje,5076
imrankhanpti,5076
falta,5054
ein,5054
ja,5038
contemporarygeneticweapon,5036
morning,5026
tweet,5023
muertos,5023
estão,5014
market,5013
air,5011
self,5009
stayhome,5008
población,4999
within,4998
26,4998
mean,4996
details,4993
political,4973
problem,4972
university,4968
dat,4963
morre,4963
save,4948
living,4942
governor,4937
israel,4936
older,4907
policy,4903
fuck,4902
supply,4895
different,4889
sind,4889
muito,4882
calling,4874
is,4874
rising,4871
mga,4869
essa,4868
ter,4864
hands,4864
que,4860
especially,4854
prevent,4847
lockdown2021,4842
vacinas,4840
phase,4840
kesehatan,4839
lol,4838
35,4834
sich,4831
tuesday,4828
sarscov2,4823
joe,4821
ask,4815
27,4812
op,4810
eine,4790
même,4788
ok,4784
रह,4783
tax,4783
question,4782
ireland,4782
cette,4771
understand,4758
sido,4755
covid19vaccine,4744
anos,4743
favor,4741
reuters,4740
ainda,4734
parents,4732
adults,4726
nearly,4723
se,4715
wir,4712
co,4711
super,4711
wo,4710
level,4709
爆料革命,4706
31,4703
quando,4700
tomorrow,4698
anything,4697
az,4697
thought,4694
été,4692
castex,4685
1st,4670
immune,4668
area,4662
crime,4661
maybe,4659
recent,4653
increased,4650
citizens,4650
vacinação,4650
sick,4643
vaccins,4641
agora,4634
magufuli,4626
scientists,4620
dengan,4618
genocida,4617
chief,4616
company,4614
tratamento,4608
worse,4607
black,4600
wuhanvirus,4598
took,4593
border,4593
director,4592
medicine,4583
takedowntheccp,4580
nas,4578
sigue,4577
reporting,4577
hi,4575
left,4574
ka,4571
aqui,4557
true,4543
mexico,4542
centre,4538
australia,4536
whole,4536
continues,4536
fin,4536
severe,4535
sono,4534
region,4524
beyond,4520
saturday,4518
tanzania,4517
wie,4517
needed,4515
reason,4514
break,4510
fear,4508
hacer,4506
drive,4505
uti,4500
meses,4491
led,4482
200,4481
industry,4474
return,4472
republicans,4470
statement,4464
dari,4453
plans,4441
narendramodi,4438
antibodies,4434
affected,4427
importante,4423
issue,4420
paris,4418
gets,4413
médicos,4409
dias,4405
tous,4404
seems,4401
mars,4400
ahead,4398
though,4396
sector,4389
на,4389
serious,4388
sie,4375
morte,4372
wow,4372
tá,4359
app,4346
fake,4346
frenaelcontagio,4335
action,4332
efforts,4330
imran,4326
ah,4324
dem,4319
learning,4300
ema,4299
niet,4295
rest,4290
depuis,4282
pode,4280
combate,4277
activos,4274
hear,4273
pruebas,4271
penyebaran,4266
currently,4264
source,4263
means,4263
fucking,4251
